Source,Destination,Protocol,SrcPort,DstPort,DataSize,Duration
115.156.144.69,58.221.28.135,1,,,196,120.679
222.20.86.127,111.180.137.21,6,53260,443,1809,120.681
183.95.73.86,157.148.33.165,6,39596,443,3411,120.682
43.141.49.187,115.156.141.153,6,80,12872,16230,120.684
183.93.101.64,183.95.73.10,6,443,43290,3645,120.686
116.153.80.3,183.94.22.64,6,443,57590,16596,120.689
115.156.143.19,175.22.51.131,1,,,196,120.69
115.156.144.25,27.128.222.131,1,,,196,120.691
115.156.141.18,113.240.75.249,6,51610,443,757,120.692
125.38.11.89,218.106.117.236,6,443,40142,102684,120.692
42.231.138.54,183.95.73.56,6,443,47356,7571,120.694
40.99.33.130,115.156.131.197,17,443,50201,3102,120.694
183.95.73.46,124.160.141.213,6,52842,443,486,120.698
115.156.143.189,124.251.34.110,6,49928,443,1297,120.7
18.182.32.116,115.156.142.194,6,21581,55081,2611,120.701
112.82.163.154,183.95.73.38,17,7170,47035,5496,120.702
112.24.96.181,115.156.144.216,6,26848,38176,50882,120.703
42.56.77.129,183.95.73.66,6,443,54591,1984,120.703
183.95.73.31,120.27.217.63,6,52937,443,290,120.704
115.156.141.145,27.128.222.131,1,,,196,120.707
36.147.53.85,115.156.144.205,1,,,196,120.708
58.216.14.5,115.156.141.240,1,,,196,120.71
222.192.187.240,115.156.142.61,6,443,56002,182,120.711
106.11.43.74,183.94.22.23,6,443,59198,2930,120.713
218.106.117.236,112.132.119.67,6,53732,80,258,120.716
116.196.137.185,183.94.22.13,6,443,50195,138,120.716
157.148.78.123,183.95.73.13,17,1103,56400,156,120.722
218.60.45.145,218.106.117.231,6,443,44546,18280,120.725
210.42.68.13,115.156.143.232,6,80,41328,15092,120.726
18.182.32.116,115.156.142.194,6,21581,57823,2701,120.726
115.156.141.152,123.56.135.74,6,47044,443,1252,120.727
218.106.117.236,122.188.71.26,6,50114,24217,210,120.728
115.156.142.194,18.182.32.116,6,5111,21581,244,120.73
115.156.143.244,111.48.138.111,6,37830,443,1143,120.73
18.182.32.116,115.156.142.194,6,21581,4269,2766,120.734
116.153.64.186,218.106.117.231,6,443,32802,127412,120.735
36.144.32.3,115.156.141.128,1,,,196,120.735
183.95.73.45,218.12.77.99,6,40142,443,880,120.737
111.19.135.154,115.156.144.168,1,,,196,120.739
119.36.90.80,218.106.117.235,6,443,34850,3366,120.741
101.198.2.228,115.156.144.19,6,443,55369,5564,120.742
115.156.144.213,223.113.138.204,6,60814,443,963,120.742
18.182.32.116,115.156.142.194,6,21581,53542,186,120.742
27.128.222.131,115.156.143.172,1,,,196,120.747
115.156.142.112,120.253.255.169,6,6455,443,153,120.747
115.156.147.48,182.61.200.16,6,59608,443,1397,120.747
18.182.32.116,115.156.142.194,6,21581,52370,1736,120.753
115.156.143.140,101.236.69.12,6,59638,443,1714,120.759
58.241.33.189,183.94.22.78,17,1082,57582,156,120.76
122.14.229.141,115.156.144.176,6,443,56832,2358,120.761
111.63.137.65,115.156.144.39,6,80,44260,1570,120.764
157.255.220.157,218.106.117.236,6,443,50025,398,120.767
116.132.219.184,183.94.22.64,6,80,4250,613,120.767
103.102.202.74,115.156.141.208,6,443,42894,404,120.768
115.156.141.183,43.145.41.107,6,56382,443,631,120.769
115.156.141.72,101.43.217.152,6,42442,5223,841,120.774
23.66.38.214,115.156.134.234,17,443,53726,29360,120.774
27.128.222.131,115.156.143.233,1,,,196,120.775
222.20.82.110,175.27.57.28,6,48390,80,849,120.775
115.156.144.238,202.89.233.101,6,55688,443,474,120.778
18.182.32.116,115.156.142.194,6,21581,52209,1670,120.779
58.19.27.12,157.148.61.213,6,49714,80,1911,120.781
111.206.148.116,183.94.22.14,6,8081,50144,146,120.784
116.148.161.135,183.95.73.49,6,443,57960,3701,120.785
115.156.142.114,106.3.18.124,6,60244,443,200,120.786
115.156.141.78,111.51.80.134,1,,,196,120.787
120.202.141.132,115.156.144.168,1,,,196,120.787
183.199.109.220,183.94.22.54,17,12291,39103,589,120.788
23.195.108.129,202.114.0.141,6,443,58618,2392,120.789
122.205.9.125,118.186.60.69,6,53722,443,1461,120.793
218.197.196.237,34.107.141.31,17,58909,443,1367,120.794
35.73.6.249,115.156.143.166,6,443,58738,237,120.795
106.225.242.169,115.156.144.205,1,,,196,120.796
218.197.196.102,183.168.162.229,6,53128,443,1741,120.796
222.20.32.202,121.194.4.10,6,51024,443,4362,120.797
115.156.143.142,180.163.140.9,1,,,196,120.798
120.52.30.248,183.95.73.25,6,443,53218,1671,120.801
115.156.143.176,43.141.11.18,6,44170,443,2418,120.802
115.156.142.225,120.133.65.235,6,60157,443,1240,120.804
82.157.74.178,115.156.144.201,6,443,61047,701,120.804
183.201.196.249,115.156.143.231,17,443,42768,28239,120.805
58.19.27.41,60.222.68.154,17,24676,57295,13452,120.805
175.22.51.131,115.156.143.171,1,,,196,120.807
210.42.68.6,218.197.231.6,6,443,53042,19759,120.807
115.156.143.206,59.83.207.254,6,50170,8080,474,120.809
120.133.65.235,115.156.143.55,6,443,52054,680,120.82
183.84.7.119,218.106.117.236,6,443,49963,1535,120.821
101.50.8.128,115.156.142.173,6,443,54194,777,120.821
116.153.64.186,183.94.22.27,6,443,32828,72090,120.826
223.84.238.249,183.95.73.19,6,19297,33674,172774,120.83
